ID_TRX;Fecha;ID_Cliente;Monto
21917;21/2/2022;3220838027;64,85
23539;21/2/2022;3856138015;71,51
25501;21/2/2022;3618552016;51,8
25615;21/2/2022;1287931014;40
28097;21/2/2022;2323813018;54,36
30030;21/2/2022;44081014;62
32215;21/2/2022;2166898019;40
35047;21/2/2022;2309813016;68
37617;21/2/2022;3972137024;50
38485;21/2/2022;2205781010;54,76
39001;21/2/2022;2315624027;20
39871;21/2/2022;2067605018;83,5
42356;21/2/2022;20719017;70,62
5828;22/2/2022;1334439021;53,38
13409;22/2/2022;3573586017;60,56
14600;22/2/2022;1055503011;56,7
18850;22/2/2022;9910017;44,88
24413;22/2/2022;7225941017;66,21
25476;22/2/2022;1072296029;124,38
27540;22/2/2022;1226862025;50
27908;22/2/2022;2296160017;60
28380;22/2/2022;1440694030;87,7
29032;22/2/2022;1167561014;50,04
36463;22/2/2022;3690829019;34,09
37085;22/2/2022;1091969028;60
39539;22/2/2022;1240808020;20,02
42607;22/2/2022;47970015;56
42963;22/2/2022;2242445017;15
3768;23/2/2022;3855571018;69,02
6587;23/2/2022;1199047016;74,31
9251;23/2/2022;1432593026;77
11597;23/2/2022;7090699013;48,15
14146;23/2/2022;45431010;70,55
18742;23/2/2022;2351571017;40,02
20699;23/2/2022;79211015;76,59
21161;23/2/2022;3775553021;20
24661;23/2/2022;1263567016;50
28166;23/2/2022;2231342019;76,17
30510;23/2/2022;1072181015;20
31318;23/2/2022;2353236015;20
37914;23/2/2022;20121016;40,3
40157;23/2/2022;1700752023;40
42544;23/2/2022;1012453011;62,24
2362;24/2/2022;2166898019;40
3057;24/2/2022;45403019;56
3427;24/2/2022;7055082015;52,01
3613;24/2/2022;3370304028;30
3790;24/2/2022;70613011;57,01
5276;24/2/2022;1041051051;64,01
6766;24/2/2022;1167373014;52,02
8862;24/2/2022;2023452018;40
8893;24/2/2022;7183170021;57,51
10356;24/2/2022;1421483015;50,01
12239;24/2/2022;7076429013;40
13437;24/2/2022;3609778018;34,37
14480;24/2/2022;1055485011;45,3
14769;24/2/2022;2305765012;40
16949;24/2/2022;7210718016;57,02
18226;24/2/2022;1136216013;75,4
21265;24/2/2022;2316429012;20
25867;24/2/2022;2084265010;58,74
26961;24/2/2022;7193456014;36,88
30600;24/2/2022;1176877023;43,02
31861;24/2/2022;3769152020;50
34076;24/2/2022;2233085012;62
34902;24/2/2022;10895033;40
42353;24/2/2022;2323813018;61
1768;25/2/2022;2315624027;72,01
2029;25/2/2022;36991014;46
3315;25/2/2022;3676777034;30
3564;25/2/2022;71935025;42
7120;25/2/2022;7207162012;20
7264;25/2/2022;1474521026;46,56
7637;25/2/2022;3489798029;30
8633;25/2/2022;9530640062;41,75
8783;25/2/2022;1395391038;60,01
15287;25/2/2022;2347141016;50,8
18662;25/2/2022;3639589039;62,24
19147;25/2/2022;3926635016;64,75
20888;25/2/2022;1425630033;78,4
21454;25/2/2022;19742053;72,14
23818;25/2/2022;1123039014;11,5
24014;25/2/2022;2216936025;16,15
25357;25/2/2022;2051816019;23,16
26796;25/2/2022;3390850018;58,44
26802;25/2/2022;1340622016;40
29865;25/2/2022;2202975011;64,8
31134;25/2/2022;1008104016;50
32320;25/2/2022;9539840028;91,01
33495;25/2/2022;3573586017;58,61
34490;25/2/2022;1414206019;86,36
39158;25/2/2022;1265407021;40
41800;25/2/2022;1339270025;13,69
3064;26/2/2022;1156857019;80,01
5161;26/2/2022;1167561014;61,76
5466;26/2/2022;1101908016;20
9382;26/2/2022;3534826015;57,8
14613;26/2/2022;59024016;50
16136;26/2/2022;1287931014;47,35
18163;26/2/2022;3220838027;49
19243;26/2/2022;3746135031;50
19968;26/2/2022;3560986014;66,6
21847;26/2/2022;2166898019;40
22530;26/2/2022;7206967015;59
25029;26/2/2022;1014368011;60
28343;26/2/2022;44081014;35,9
28454;26/2/2022;54233018;72,56
29276;26/2/2022;7222012036;8
31382;26/2/2022;2356503015;94,75
33536;26/2/2022;7099715018;40
35011;26/2/2022;3671255010;70
39078;26/2/2022;7236159013;39,63
39520;26/2/2022;3912061045;60,01
39610;26/2/2022;7184523020;74
42155;26/2/2022;1015199017;19,45
42838;26/2/2022;2323813018;46
42846;26/2/2022;2340772015;55,01
115;27/2/2022;1411689035;35,8
5436;27/2/2022;1415340049;66,6
5504;27/2/2022;68422029;40,02
6983;27/2/2022;7167066039;70,03
7294;27/2/2022;1327835029;20
14263;27/2/2022;2168310013;35,43
14329;27/2/2022;7222012036;10
15665;27/2/2022;3854620014;70,6
16431;27/2/2022;2353839016;63,3
16606;27/2/2022;2343071019;165,01
17919;27/2/2022;1425630025;42,01
18987;27/2/2022;7090699013;81,3
19490;27/2/2022;2324989015;20
20689;27/2/2022;3673740027;40
24095;27/2/2022;3555478035;20
25276;27/2/2022;7101334014;23,51
